brand_0,brand_1,brand_2,price,dcity_0,dcity_1,dcity_2,dcity_3,dcity_4,acity_0,acity_1,acity_2,acity_3,acity_4,class_type,flytime_hours,dhour,dminute,ahour,aminute,dmonth,dday
0,1,1,2508000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,4071000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,6537000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,7152000,0,0,0,1,0,0,0,0,1,0,1,1.5,14,45,16,15,12,10
0,1,1,1312000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,1492000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,1637000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,1709000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,1717000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,1810000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,2002000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,2031000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,2130000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,2532000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,2717000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,3135000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,3242000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,4311000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
0,1,1,5425000,0,0,0,1,0,0,0,0,0,1,1,1.4166666666666667,21,15,22,40,12,10
